분류,제목,만료날짜,참여인원
안전/환경,특권없는 공정한 사회를  젊은 의사들에게 !   <의사 4대 특권 철폐 청원>,2020-10-03,"74,336명"
정치개혁,경기도 취약계층 지원 예산 500억 전액 삭감,2020-10-03,"4,682명"
일자리,"영업정지, 집합금지 명령, 자영업자 좀 제발.. 제발좀 살려주십시오..",2020-10-03,692명
일자리,러시아 마피아의 불법 돈벌이로  특급호텔 350명 근로자의 삶이 파탄 났고  한 아이의 생명이 죽었습니다.,2020-10-03,"3,236명"
정치개혁,문재인대통령님 이제 그만 하야하십시오,2020-10-03,"24,074명"
보건복지,의사 정원을 최대한 늘려 시군읍면까지 공무원 의사를 배치하여 국민의 건강을 지켜야한다,2020-10-03,"2,301명"
보건복지,희귀의약품을 정부에서 신속하게 수입.보험료 적용을 할수있도록 촉구합니다,2020-10-03,539명
행정,이런 허술한 유언공증제도로 억울하게 피해를 보지 않도록 법을 바꿔 주세요!,2020-10-03,386명
안전/환경,전남 담양군 수해복구 종결 상황,2020-10-03,147명
교통/건축/국토,어린이보호구역 불법 주•정차 주민신고제 정책개선을 요구합니다,2020-10-03,184명
인권/성평등,제주 ***테마파크에서 고객에게 갑질을 하는 행태와 장애인 인권차별하는 실태를 고발합니다.,2020-10-03,249명
행정,청와대 청원게시판은 국회 청원게시판과 동일하게 내국인 실명인증 로그인 후 이용할 수 있어야 합니다,2020-10-03,437명
인권/성평등,코로나 확산시점에 이뤄지고 있는 갑질행태를 고발합니다.,2020-10-03,252명
육아/교육,의대생 집단유급사태로 인한 고3수험생들의 2021의대진학 불능사태시의 해결방안이있나요?,2020-10-03,274명
문화/예술/체육/언론,KBS 법조팀 검언유착을  감찰해줄것을 청원합니다.,2020-10-03,"1,494명"
교통/건축/국토,정부의 부동산 대책을 철회하여 주시기 바랍니다,2020-10-03,640명
정치개혁,홍정욱 마약사범 딸의 집행유예 관련 재판을 확인해주세요.,2020-10-03,"3,564명"
정치개혁,홍정욱 딸 마약 밀반입 사건 상소 포기한 검사를 직무유기로 처벌해 주세요.,2020-10-03,"49,305명"
육아/교육,남양주 *** 어린이집 학대,2020-10-03,"4,389명"
육아/교육,체육관관장 아동핰대,2020-10-03,"2,535명"
정치개혁,"시무7조,영남만인소를 외환의 죄로 고변합니다",2020-10-03,802명
인권/성평등,개인정보 보호법 개정을 요구합니다.,2020-10-03,201명
농산어촌,코로나집단감염(신천지이태원****교회) 일어날수있는 쭈꾸미낚시 금지시켜야합니다,2020-10-03,535명
문화/예술/체육/언론,휘트니스 업계 강제집합금지를 철회해주세요.,2020-10-03,247명
안전/환경,백화점단축근무,2020-10-03,844명
육아/교육,가정보육하는 집에 어린이집 보육비용 일부를 보전해주세요.,2020-10-03,271명
육아/교육,자녀장려금.. 누굴 위한 정책인가요?,2020-10-03,374명
외교/통일/국방,접경지역 전역에서 대북전단살포를 금지하는 행정명령을 발동해 주십시오!,2020-10-03,"1,487명"
외교/통일/국방,한국에서 미국SAT시험을 한국 모든 학생이 치를 수 있도록 도와 주십시요.,2020-10-03,146명
교통/건축/국토,****자동차그룹 **/** 전기차 고전압 배터리 문제,2020-10-03,"7,020명"
교통/건축/국토,서울아파트 부족 근본적 해결방안,2020-10-03,154명
보건복지,"원격진료,  병원 CCTV설치 , 전공의 인원제한 해주세요",2020-10-03,869명
일자리,대기업 ***의 민낯과 횡포를 고발합니다(노동자는 씹다 단물빠지면 버리는 껌딱지인가요?),2020-10-03,245명
경제민주화,국민연금(위탁운용사포함)은 분식회계회사 ******** 주식매수금지& 매도하라.,2020-10-03,"1,153명"
기타,미혼모생활시설의 천인공노할 마포***의 시설장을 고발합니다.,2020-10-03,463명
기타,평택 고덕 ***** 건설현장의 비정상적 임급지급에 대한 진정을 청원합니다.,2020-10-03,172명
인권/성평등,귀가하던 여성을 뒤따라가 살해한 제주 20대 남성의 신상공개와 엄정한 수사를 촉구합니다,2020-10-03,"183,103명"
보건복지,"보건복지부, 행안부는 골프밴드 골프연습장 골프장 강력관리 요청",2020-10-03,334명
문화/예술/체육/언론,생활체육과  엘리트체육의 통합 발전,2020-10-03,330명
교통/건축/국토,"공인중개사 표시,광고법 시행과 중개보조원 중개행위 근절",2020-10-03,579명
육아/교육,봉담 아이들에게 교육에 대한 평등한 기회를 주세요.,2020-10-03,"3,980명"
기타,초등학교 긴급돌봄교실에 간식공급할 수 있게 해주세요.,2020-10-03,215명
행정,코로나19관련 “고위험시설” · “저위험시설”의 이의제기,2020-10-03,"3,284명"
교통/건축/국토,**** 서비스센터의 문제점 개선을 위해 동참해주세요.,2020-10-03,156명
육아/교육,초등학교 원격수업 시정요청합니다,2020-10-03,"2,223명"
기타,**증권과 **금융투자의 부당한 만기상환금(2027년)을 조사해 주십시요.,2020-10-03,183명
행정,위급환자를 지속적으로 방치해놓고서도 심지어 만신창이가 되어  병원응급실로 들어온 응급환자를 노골적으로 거부하고 유기해버린  소름 끼치도록 무서운 의사를    처벌하여  주십시요,2020-10-03,627명
보건복지,신경섬유종 환자도 장애 진단 받게 해주세요,2020-10-03,262명
기타,광주 시민들에게도 코로나19에 관한 자세한 정보가 필요합니다.,2020-10-03,186명
기타,충주 경찰에 대한 면밀한 조사를 부탁드립니다,2020-10-03,982명
보건복지,공공의대 설립 대신 서울대학교와 지방 일부 국립대학교  의과대학을 공공의대로 전환할 것을 청원합니다.,2020-10-03,710명
인권/성평등,동의없이 여성 성기에 손 전체를 넣는 등 20명 이상의 여성에게 성적인 피해를 입힌 사범대 지망생을 처벌해주세요,2020-10-02,"67,660명"
보건복지,회사에서 소방훈련 한다고 500명가량 모였습니다.,2020-10-02,352명
보건복지,군인들의 의료 처우개선이 필요합니다.,2020-10-02,598명
행정,** 지역 토착세력과 시청 경찰서의 유착관계를 막아 주십시요,2020-10-02,"1,175명"
육아/교육,제 아이를 하루빨리 집으로 보내주세요,2020-10-02,419명
육아/교육,이건 원격수업이 아닙니다. 언제까지 우리아이들을 방치하실 예정이십니까?,2020-10-02,"34,771명"
안전/환경,천안시 ***번 확진자 관련,2020-10-02,578명
보건복지,경주시는 코로나 방역에 자신이 있는가?  광양시에서 취소된 축구대회를 왜 경주에 개최하는가?,2020-10-02,343명
안전/환경,살려 주세요. 수몰위기에 있는 20가구를 제발 살려주세요.,2020-10-02,"1,059명"
행정,"대전 시민이 코로나로 부터 안전하지 않으며, 알권리를 침해당하고 있습니다.",2020-10-02,546명
기타,가해자 회유로 허위 진술서 작성하고 중증피해자를 죽음으로 몰고가는 **** *****의 횡포를 알립니다.,2020-10-02,291명
행정,교사 및 공무원 일방전입의 문을 열어 주십시오.,2020-10-02,337명
성장동력,코로나 이후 경제활성화를 위한 뉴딜사업으로 새만금을 선망의 땅으로 개발하는 청원,2020-10-02,335명
행정,카페 자영업자입니다,2020-10-02,392명
행정,긴급고용안정지원금 지연및 정보건,2020-10-02,699명
보건복지,승강기 정지시 문 항시개방으로 코로나 감염 예방,2020-10-02,254명
기타,코로나 거리두기 2.5단계. 시행만 하지말고 단속 강화 해주세요.,2020-10-02,616명
교통/건축/국토,경춘선 분당선 직결 할수 있게 해주세요,2020-10-02,"3,697명"
행정,"중,고위험 시설로 지정된 소상공인에 임대료 감면 정책을 청원합니다.",2020-10-02,294명
정치개혁,우리동네에 서울대병원을 만들어주세요,2020-10-02,511명
저출산/고령화대책,"저출산, 부동산등, 현안 문제에 대한 民草의 小見",2020-10-02,265명
정치개혁,국회의원 무보수 명예직으로,2020-10-02,"2,556명"
보건복지,전국민 독감백신 무료 접종을 건의합니다....,2020-10-02,655명
기타,법적 효력없는 권고뿐인 웨딩홀 위약금 분쟁에 예비부부들은 피눈물을 흘리고있습니다,2020-10-02,312명
행정,대주주 양도소득세는 이제는 폐기되어야 할 악법입니다.,2020-10-02,"216,844명"
일자리,고용노동부 코로나 위기 특별 유급휴업 지원기간 연장을 부탁드립니다.,2020-10-02,141명
보건복지,법률을 위반한 의사들의 모든 행위에 대해 일말의 선처도 없는 준엄한 법집행을 시행할것을 강력히 요구합니다!!,2020-10-02,"5,765명"
보건복지,"국민의 생명을 볼모로  진료를 거부하는 의사들을 ""미필적 고의에 의한 살인죄""로 처벌할 수 있도록 법 개정을 해주세요....",2020-10-02,"3,017명"
안전/환경,폭주 소음에 대한 실질적이고 대대적인 단속이 시급합니다.,2020-10-02,411명
보건복지,"의료 악법, 의사가 선택하는 상품명 처방을 지역 공무원들이 카피약 단일 1종을 지정해 시민들이 선택하는 성분명 처방제로 바꾸어 주세요",2020-10-02,"1,471명"
행정,동대문구 확진자 동선 공개 요청합니다,2020-10-02,606명
행정,실내 다중이용시설의 판단기준(예식장),2020-10-02,"1,628명"
일자리,주휴수당 제도 폐지를 요구합니다,2020-10-02,347명
보건복지,누구를위한 안심병원인가요?,2020-10-02,277명
저출산/고령화대책,혈통이 무너지는걸 막아주세요.,2020-10-01,"2,185명"
안전/환경,"SRT도난사건, CCTV의무화 해주세요.",2020-10-01,294명
보건복지,대한민국 국민은 '마루타'가 아닙니다 !!!,2020-10-01,813명
인권/성평등,인권역차별 차별금지법과 나다움책 보급의 폐지를 요구합니다.,2020-10-01,605명
정치개혁,"시무 7조 청원에 대한 답글 반대하며, 시무 28조의 취사 선택 청원 드립니다",2020-10-01,"2,852명"
보건복지,의사들의 권한을 대폭 삭감하는 법개정을 청원합니다,2020-10-01,"13,062명"
정치개혁,문재인 대통령께서 직접 국민과의 약속인 공약에 대해 답변 해주세요,2020-10-01,"2,558명"
안전/환경,대국민 암살자 강릉 안인 석탄화력발전소 건립을 즉시 중단함으로써 현 정부의 그린 뉴딜을 완성시켜 주십시오.,2020-10-01,375명
보건복지,****교회 및 8.15집회참석 후 코로나 검사안받는 사람들 명단공표해주세요,2020-10-01,"2,974명"
보건복지,간호사 현실.,2020-10-01,"2,563명"
행정,저는 작년 암으로 부모님 중 한분을 잃었습니다.의사들 파업에 대해서 강력하게 청원합니다.,2020-10-01,"4,690명"
안전/환경,사랑없는 믿음과 배려없는 신앙으로 폭주하는 교회를 부디 멈춰 주십시오.,2020-10-01,"1,607명"
안전/환경,교회를 국가가 관리해 주세요,2020-10-01,828명
정치개혁,이낙연에게 집값폭등의 책임을 물어 당대표 사퇴를 요구합니다,2020-10-01,"1,583명"
보건복지,공공 의전원 정책은 철회하는 것이 타당합니다.,2020-10-01,"1,492명"
일자리,집합금지명령. 영업정지.자영업자죽이는일,2020-10-01,557명
육아/교육,제안합니다. 초등 주 3회 전화 수업이라도 도입해 주세요,2020-10-01,"2,333명"
보건복지,의료계 파업 멈춰주세요. 우리아이가 죽습니다,2020-10-01,"6,356명"
교통/건축/국토,국토부 장관님께 드리는 글,2020-10-01,"1,582명"
인권/성평등,저에 소중한 동생이 태권도 선수 인 선배에게 폭행을 당했습니다.,2020-10-01,"1,655명"
교통/건축/국토,"한국지역난방공사 본사를 2차 공공기관 이전에  발맞추어,나주로 이전시켜주십시요.",2020-10-01,480명
경제민주화,사회적 거리두기 2.5단계 시행으로 인해 영업 중단하는 자영업자의 임대료를 일부 지원 및 감면 정책을 마련해주세요.,2020-10-01,"1,489명"
보건복지,비정형 안면통 환자들에 의료혜택과 장애등급에 대한 청원에 관한 청원,2020-10-01,484명
안전/환경,"수달이 서식하는 ""오산천""   오산천 개발을 반대 합니다",2020-10-01,644명
행정,"주택임대차보호법 해설집 ""최초임대료""에 대한 재해석 요청드립니다.",2020-10-01,316명
경제민주화,집합금지 기간에도 임대료받는 건물주 하느님?,2020-10-01,"1,718명"
보건복지,은행과 공공기관의 대면 영업도 잠시 멈추어주세요,2020-10-01,235명
안전/환경,거주지와 인접한 철도의 소음 개선을 요청합니다.,2020-10-01,527명
행정,소상공인이 아닌 자영업자는 죽으라는건가요?,2020-10-01,526명
보건복지,엘리베이터 코로나 방역에 대한 아이디어,2020-10-01,320명
기타,코로나 위기에서 상생 외면한  “**마트” 임대매장 모두 죽으라는 소리인가?,2020-10-01,338명
교통/건축/국토,건설현장에 만연해있는 불법 재하도급을 근절해주세요.,2020-10-01,460명
안전/환경,"마스크 미착용,잘못 착용한 연예인의 모습을  방송하지 말아주세요",2020-10-01,748명
보건복지,프랜차이즈 카페만 실내영업을 못하게 하는것은 부당합니다,2020-10-01,"1,614명"
보건복지,"코로나19, 이렇게 해야 끝낼 수 있습니다.",2020-10-01,381명
