년도,광역,기초,경찰서,시구only,연령,성별,가구수
2017,경기,과천시,경기과천경찰서,과천시,16~20세,남자,18
2017,경기,과천시,경기과천경찰서,과천시,16~20세,여자,10
2017,경기,과천시,경기과천경찰서,과천시,21~30세,남자,221
2017,경기,과천시,경기과천경찰서,과천시,21~30세,여자,166
2017,경기,과천시,경기과천경찰서,과천시,31~40세,남자,420
2017,경기,과천시,경기과천경찰서,과천시,31~40세,여자,238
2017,경기,과천시,경기과천경찰서,과천시,41~50세,남자,303
2017,경기,과천시,경기과천경찰서,과천시,41~50세,여자,193
2017,경기,과천시,경기과천경찰서,과천시,51~60세,남자,267
2017,경기,과천시,경기과천경찰서,과천시,51~60세,여자,268
2017,경기,과천시,경기과천경찰서,과천시,61~세,남자,344
2017,경기,과천시,경기과천경찰서,과천시,61~세,여자,978
2017,서울,관악구,서울관악경찰서,관악구,16~20세,남자,546
2017,서울,관악구,서울관악경찰서,관악구,16~20세,여자,556
2017,서울,관악구,서울관악경찰서,관악구,21~30세,남자,20065
2017,서울,관악구,서울관악경찰서,관악구,21~30세,여자,19737
2017,서울,관악구,서울관악경찰서,관악구,31~40세,남자,17718
2017,서울,관악구,서울관악경찰서,관악구,31~40세,여자,10944
2017,서울,관악구,서울관악경찰서,관악구,41~50세,남자,8423
2017,서울,관악구,서울관악경찰서,관악구,41~50세,여자,4335
2017,서울,관악구,서울관악경찰서,관악구,51~60세,남자,5406
2017,서울,관악구,서울관악경찰서,관악구,51~60세,여자,3997
2017,서울,관악구,서울관악경찰서,관악구,61~세,남자,4920
2017,서울,관악구,서울관악경찰서,관악구,61~세,여자,10218
2017,경기,광명시,경기광명경찰서,광명시,16~20세,남자,30
2017,경기,광명시,경기광명경찰서,광명시,16~20세,여자,41
2017,경기,광명시,경기광명경찰서,광명시,21~30세,남자,1179
2017,경기,광명시,경기광명경찰서,광명시,21~30세,여자,995
2017,경기,광명시,경기광명경찰서,광명시,31~40세,남자,2906
2017,경기,광명시,경기광명경찰서,광명시,31~40세,여자,1668
2017,경기,광명시,경기광명경찰서,광명시,41~50세,남자,2625
2017,경기,광명시,경기광명경찰서,광명시,41~50세,여자,1813
2017,경기,광명시,경기광명경찰서,광명시,51~60세,남자,2336
2017,경기,광명시,경기광명경찰서,광명시,51~60세,여자,2075
2017,경기,광명시,경기광명경찰서,광명시,61~세,남자,2389
2017,경기,광명시,경기광명경찰서,광명시,61~세,여자,6366
2017,광주,광산구,광주광산경찰서,광산구,16~20세,남자,248
2017,광주,광산구,광주광산경찰서,광산구,16~20세,여자,366
2017,광주,광산구,광주광산경찰서,광산구,21~30세,남자,4238
2017,광주,광산구,광주광산경찰서,광산구,21~30세,여자,3751
2017,광주,광산구,광주광산경찰서,광산구,31~40세,남자,6415
2017,광주,광산구,광주광산경찰서,광산구,31~40세,여자,2683
2017,광주,광산구,광주광산경찰서,광산구,41~50세,남자,5366
2017,광주,광산구,광주광산경찰서,광산구,41~50세,여자,2626
2017,광주,광산구,광주광산경찰서,광산구,51~60세,남자,3508
2017,광주,광산구,광주광산경찰서,광산구,51~60세,여자,2802
2017,광주,광산구,광주광산경찰서,광산구,61~세,남자,2531
2017,광주,광산구,광주광산경찰서,광산구,61~세,여자,6307
2017,전남,광양시,전남광양경찰서,광양시,16~20세,남자,78
2017,전남,광양시,전남광양경찰서,광양시,16~20세,여자,70
2017,전남,광양시,전남광양경찰서,광양시,21~30세,남자,1000
