행정구역별(1),행정구역별(2),면적 (㎢),남자,여자,인구밀도 (명/㎢),인구증가율 (%)
경상북도,영주시,669.90 ,53737.00 ,54634.00 ,161.77 ,-0.80 
경상북도,영천시,919.22 ,50857.00 ,49758.00 ,109.46 ,0.09 
경상북도,상주시,1254.66 ,49344.00 ,51603.00 ,80.46 ,-0.84 
경상북도,문경시,911.83 ,35907.00 ,37387.00 ,80.38 ,-1.88 
경상북도,경산시,411.77 ,130775.00 ,128710.00 ,630.17 ,0.56 
경상북도,군위군,614.28 ,12247.00 ,11968.00 ,39.42 ,0.18 
경상북도,의성군,1175.12 ,26102.00 ,27372.00 ,45.51 ,-1.00 
경상북도,청송군,846.06 ,12891.00 ,13115.00 ,30.74 ,-1.12 
경상북도,영양군,815.64 ,8618.00 ,8861.00 ,21.43 ,-1.32 
경상북도,영덕군,741.23 ,18360.00 ,20169.00 ,51.98 ,-1.34 
경상북도,청도군,693.72 ,21221.00 ,22125.00 ,62.48 ,-0.50 
경상북도,고령군,384.06 ,17200.00 ,16568.00 ,87.92 ,-1.43 
경상북도,성주군,616.08 ,23191.00 ,21947.00 ,73.27 ,-0.15 
경상북도,칠곡군,450.93 ,62820.00 ,58044.00 ,268.03 ,-1.90 
경상북도,예천군,661.42 ,24246.00 ,25007.00 ,74.47 ,6.69 
경상북도,봉화군,1201.79 ,16550.00 ,16709.00 ,27.67 ,-0.83 
경상북도,울진군,989.90 ,25463.00 ,25511.00 ,51.49 ,-1.48 
경상북도,울릉군,72.88 ,5441.00 ,4534.00 ,136.87 ,-0.26 
경상남도,창원시,747.82 ,536167.00 ,520865.00 ,1413.48 ,-0.65 
경상남도,진주시,712.94 ,171801.00 ,174880.00 ,486.27 ,-0.02 
경상남도,통영시,239.86 ,68528.00 ,67305.00 ,566.30 ,-1.68 
경상남도,사천시,398.65 ,57476.00 ,56776.00 ,286.60 ,-0.57 
경상남도,김해시,463.36 ,268959.00 ,263173.00 ,1148.42 ,0.51 
